Food code,Main food description,Food description
11710669,"Infant formula, Enfamil AR, powder, made with water","The image shows the food category of infant formula, Enfamil AR, powder, made with water."
11710671,"Infant formula, Enfamil Gentlease, ready-to-feed","The image shows the food category of infant formula, Enfamil Gentlease, ready-to-feed. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710677,"Infant formula, Enfamil Gentlease, powder, made with tap water","The image shows the food category of infant formula, Enfamil Gentlease, powder, made with tap water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710678,"Infant formula, Enfamil Gentlease, powder, made with bottled water","The image shows the food category of infant formula, Enfamil Gentlease, powder, made with bottled water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease."
11710679,"Infant formula, Enfamil Gentlease, powder, made with baby water","The image shows the food category of infant formula, Enfamil Gentlease, powder, made with baby water. Additional details include enfamil varieties NeuroPro Gentlease, Premium Gentlease; other water."
11710689,"Toddler formula, Enfamil Enfagrow","The image shows the food category of toddler formula, Enfamil Enfagrow. Additional details include enfagrow Toddler varieties Transitions, Next Step, Gentlease, Soy; Nutramigen with Enflora LGG Toddler; PurAmino Toddler."
11710801,"Toddler formula, PediaSure","The image shows the food category of toddler formula, PediaSure. Additional details include pediaSure varieties Grow and Gain, with Fiber, Sidekicks."
11710807,"Toddler formula, Nido Kinder","The image shows the food category of toddler formula, Nido Kinder."
11710810,"Toddler formula, store brand, beginning or next stage","The image shows the food category of toddler formula, store brand, beginning or next stage. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710815,"Toddler formula, store brand, pediatric shake","The image shows the food category of toddler formula, store brand, pediatric shake. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710905,"Infant formula, Gerber, not further specified subcategory assigned","The image shows the food category of infant formula, Gerber, not further specified subcategory assigned. Additional details include not specified subcategory as to variety."
11710911,"Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed","The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710917,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water","The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710918,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water","The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water. Additional details include gerber varieties Soothe Stage 1, Supplementing."
11710919,"Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water","The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water. Additional details include gerber varieties Soothe Stage 1, Supplementing; other water."
11710921,"Infant formula, Gerber Good Start Gentle, Stage 2","The image shows the food category of infant formula, Gerber Good Start Gentle, Stage 2. Additional details include gerber Good Start Soothe, Stage 2."
11710930,"Toddler formula, Gerber Good Start, Stage 3","The image shows the food category of toddler formula, Gerber Good Start, Stage 3. Additional details include gerber varieties Grow, Soy."
11710935,"Infant formula, premature, powder, made with water","The image shows the food category of infant formula, premature, powder, made with water. Additional details include enfamil Premature or EnfaCare; Similac Premature or NeoSure."
11710945,"Infant formula, premature, ready-to-feed","The image shows the food category of infant formula, premature, ready-to-feed. Additional details include enfamil Premature or EnfaCare; Similac Premature or NeoSure."
11710954,"Infant formula, organic, powder, made with water","The image shows the food category of infant formula, organic, powder, made with water. Additional details include store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic."
11710955,"Infant formula, organic, ready-to-feed","The image shows the food category of infant formula, organic, ready-to-feed. Additional details include store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic."
11710967,"Infant formula, store brand, advantage or tender, powder, made with tap water","The image shows the food category of infant formula, store brand, advantage or tender, powder, made with tap water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation."
11710968,"Infant formula, store brand, advantage or tender, powder, made with bottled water","The image shows the food category of infant formula, store brand, advantage or tender, powder, made with bottled water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation."
11710969,"Infant formula, store brand, advantage or tender, powder, made with baby water","The image shows the food category of infant formula, store brand, advantage or tender, powder, made with baby water. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation; other water."
11710970,"Infant formula, store brand, gentle or sensitivity","The image shows the food category of infant formula, store brand, gentle or sensitivity. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11710980,"Infant formula, store brand, added rice","The image shows the food category of infant formula, store brand, added rice. Additional details include kirkland, Member's Mark, Parent's Choice, Up&Up."
11720311,"Infant formula, Enfamil ProSobee, ready-to-feed","The image shows the food category of infant formula, Enfamil ProSobee, ready-to-feed."
11720317,"Infant formula, Enfamil ProSobee, powder, made with tap water","The image shows the food category of infant formula, Enfamil ProSobee, powder, made with tap water."
11720318,"Infant formula, Enfamil ProSobee, powder, made with bottled water","The image shows the food category of infant formula, Enfamil ProSobee, powder, made with bottled water."
11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water","The image shows the food category of infant formula, Enfamil ProSobee, powder, made with baby water. Additional details include other water."
11720411,"Infant formula, Similac Isomil Soy, ready-to-feed","The image shows the food category of infant formula, Similac Isomil Soy, ready-to-feed."
11720417,"Infant formula, Similac Isomil Soy, powder, made with tap water","The image shows the food category of infant formula, Similac Isomil Soy, powder, made with tap water."
